Name	script	memory [KB]	time used [s]
preparation	preparation.slurm	2723	16

ALIGN	alignment.slurm	133	128	130
MBAM	makeBAMs.slurm	134	145	128
SBAM	sortBAMs.slurm	129	139	127
MBG	makeBedGraphs.slurm	143	138	137
SBG	sortBedGraphs.slurm	132	137	129
MBW	makeBigWigs.slurm	127	137	132
PEAKC	peakCalling.slurm	138	138	133
CSMERGE	catSortAndBTMerge.slurm	1	3	5
IBED	intersectBed.slurm	136	145	135
PREPR	prepareForR.slurm	129	131	138
R	runRscript.slurm	2	1	4

combined starts	14:57:22	19:29:45	19:48:34
combined ends	15:09:58	19:44:40	20:02:32

total (each)	1204	1242	1198
total (combined)	756	895	838
